(num-subs l0), layer: 0
(association-reaction p57 cdk2p2-cyce p57-cdk2p2-cyce), layer: 0
(association-reaction p57 cdk46p1-cycdp1 p57-cdk46p1-cycdp1), layer: 0
(association-reaction p57 cdk46p1-cycd p57-cdk46p1-cycd), layer: 0
(association-reaction p57 cdk46p1p2-cycdp1 p57-cdk46p1p2-cycdp1), layer: 0
(association-reaction p57 cdk46p1p2-cycd p57-cdk46p1p2-cycd), layer: 0
(association-reaction p57p1 cdk46p1-cycdp1 p57p1-cdk46p1-cycdp1), layer: 0
(association-reaction p57p1 cdk46p1-cycd p57p1-cdk46p1-cycd), layer: 0
(association-reaction p57p1 cdk46p1p2-cycdp1 p57p1-cdk46p1p2-cycdp1), layer: 0
(association-reaction p57p1 cdk46p1p2-cycd p57p1-cdk46p1p2-cycd), layer: 0
(association-reaction pcaf p300 pcaf-p300), layer: 0
(synthesis-reaction prb-ap2-ge-c ecadherin), layer: 0
(association-reaction prb-ap2 ge-c prb-ap2-ge-c), layer: 0
(association-reaction prb ap2 prb-ap2), layer: 0
(catalyzed-association-reaction prb cdk46p3-cycdp1 prbp1), layer: 0
(association-reaction prb-e2f13-dp12 ge2 prb-e2f13-dp12-ge2), layer: 0
(association-reaction prb e2f13-dp12 prb-e2f13-dp12), layer: 0
(association-reaction prb-e2f13p1-dp12p1 ge2 prb-e2f13p1-dp12p1-ge2), layer: 0
(association-reaction prb e2f13p1-dp12p1 prb-e2f13p1-dp12p1), layer: 0
(association-reaction prb-e2f4-dp12 ge2 prb-e2f4-dp12-ge2), layer: 0
(association-reaction prb e2f4-dp12p1 prb-e2f4-dp12p1), layer: 0
(association-reaction prb e2f4-dp12 prb-e2f4-dp12), layer: 0
(association-reaction prb-e2f4p1-dp12 ge2 prb-e2f4p1-dp12-ge2), layer: 0
(synthesis-reaction prbp1-ap2-ge-c ecadherin), layer: 0
(association-reaction prbp1-ap2 ge-c prbp1-ap2-ge-c), layer: 0
(association-reaction prbp1 ap2 prbp1-ap2), layer: 0
(catalyzed-association-reaction prbp1 cdk2p2-cycep1 prbp1p2), layer: 0
(catalyzed-association-reaction prbp1 cdk2p2-cyce prbp1p2), layer: 0
(association-reaction prbp1-e2f13-dp12 ge2 prbp1-e2f13-dp12-ge2), layer: 0
(association-reaction prbp1 e2f13-dp12 prbp1-e2f13-dp12), layer: 0
(association-reaction prbp1-e2f13p1-dp12p1 ge2 prbp1-e2f13p1-dp12p1-ge2), layer: 0
(association-reaction prbp1 e2f13p1-dp12p1 prbp1-e2f13p1-dp12p1), layer: 0
(association-reaction prbp1-e2f4-dp12 ge2 prbp1-e2f4-dp12-ge2), layer: 0
(association-reaction prbp1 e2f4-dp12p1 prbp1-e2f4-dp12p1), layer: 0
(association-reaction prbp1 e2f4-dp12 prbp1-e2f4-dp12), layer: 0
(association-reaction prbp1-e2f4p1-dp12 ge2 prbp1-e2f4p1-dp12-ge2), layer: 0
(synthesis-reaction prbp1p2-ap2-ge-c ecadherin), layer: 0
(association-reaction prbp1p2-ap2 ge-c prbp1p2-ap2-ge-c), layer: 0
(association-reaction prbp1p2 ap2 prbp1p2-ap2), layer: 0
(synthesis-reaction prbp2-ap2-ge-c ecadherin), layer: 0
(association-reaction prbp2-ap2 ge-c prbp2-ap2-ge-c), layer: 0
(association-reaction prbp2 ap2 prbp2-ap2), layer: 0
(catalyzed-association-reaction prbp2 cdk46p3-cycdp1 prbp1p2), layer: 0
(association-reaction rpa cyca rpa-cyca), layer: 0
(catalyzed-association-reaction skp1 cdk2p2-cyca skp1p1), layer: 0
(association-reaction skp2 cdk2-cyca skp2-cdk2-cyca), layer: 0
(association-reaction skp2 cdk2p1-cyca skp2-cdk2p1-cyca), layer: 0
(association-reaction skp2 cdk2p1p2-cyca skp2-cdk2p1p2-cyca), layer: 0
(association-reaction skp2 cdk2p2-cyca skp2-cdk2p2-cyca), layer: 0
(catalyzed-association-reaction skp2 cdk2p2-cyca skp2p1), layer: 0
(association-reaction skp2p1 skp1p1 skp2p1-skp1p1), layer: 0
(association-reaction skp2p1 skp1 skp2p1-skp1), layer: 0
(association-reaction skp2-skp1 cdk2-cyca skp2-skp1-cdk2-cyca), layer: 0
(association-reaction skp2-skp1 cdk2p1-cyca skp2-skp1-cdk2p1-cyca), layer: 0
(association-reaction skp2-skp1 cdk2p1p2-cyca skp2-skp1-cdk2p1p2-cyca), layer: 0
(association-reaction skp2-skp1 cdk2p2-cyca skp2-skp1-cdk2p2-cyca), layer: 0
(association-reaction skp2-skp1p1 cdk2-cyca skp2-skp1p1-cdk2-cyca), layer: 0
(association-reaction skp2-skp1p1 cdk2p1-cyca skp2-skp1p1-cdk2p1-cyca), layer: 0
(association-reaction skp2-skp1p1 cdk2p1p2-cyca skp2-skp1p1-cdk2p1p2-cyca), layer: 0
(association-reaction skp2-skp1p1 cdk2p2-cyca skp2-skp1p1-cdk2p2-cyca), layer: 0
(association-reaction skp2 skp1p1 skp2-skp1p1), layer: 0
(association-reaction skp2 skp1 skp2-skp1), layer: 0
(association-reaction sp1 e2f13p1 sp1-e2f13p1), layer: 0
(association-reaction sp1 e2f13 sp1-e2f13), layer: 0
(association-reaction sp1 p107p1 sp1-p107p1), layer: 0
(association-reaction sp1 p107 sp1-p107), layer: 0
(catalyzed-association-reaction wee1 cdk1p3-cyca wee1p1), layer: 0
(catalyzed-association-reaction wee1 cdk1p3-cycb wee1p1), layer: 0
(next l1 l0), layer: 0
(next l2 l1), layer: 0
(next l3 l2), layer: 0
(next l4 l3), layer: 0
(next l5 l4), layer: 0
(next l6 l5), layer: 0
(next l7 l6), layer: 0
(next l8 l7), layer: 0
(next l9 l8), layer: 0
(next l10 l9), layer: 0
(next l11 l10), layer: 0
(next l12 l11), layer: 0
(next l13 l12), layer: 0
(next l14 l13), layer: 0
(next l15 l14), layer: 0
(next l16 l15), layer: 0
(next l17 l16), layer: 0
(next l18 l17), layer: 0
(next l19 l18), layer: 0
(next l20 l19), layer: 0
(next l21 l20), layer: 0
