(robot-pos pos-0-0), layer: 0
(connected pos-3-3 pos-2-3), layer: 0
(connected pos-3-3 pos-3-2), layer: 0
(connected pos-3-4 pos-4-4), layer: 0
(connected pos-3-4 pos-3-5), layer: 0
(connected pos-3-4 pos-2-4), layer: 0
(connected pos-3-4 pos-3-3), layer: 0
(connected pos-3-5 pos-4-5), layer: 0
(connected pos-3-5 pos-3-6), layer: 0
(connected pos-3-5 pos-2-5), layer: 0
(connected pos-3-5 pos-3-4), layer: 0
(connected pos-3-6 pos-4-6), layer: 0
(connected pos-3-6 pos-2-6), layer: 0
(connected pos-3-6 pos-3-5), layer: 0
(connected pos-4-0 pos-5-0), layer: 0
(connected pos-4-0 pos-4-1), layer: 0
(connected pos-4-0 pos-3-0), layer: 0
(connected pos-4-1 pos-5-1), layer: 0
(connected pos-4-1 pos-4-2), layer: 0
(connected pos-4-1 pos-3-1), layer: 0
(connected pos-4-1 pos-4-0), layer: 0
(connected pos-4-2 pos-5-2), layer: 0
(connected pos-4-2 pos-4-3), layer: 0
(connected pos-4-2 pos-3-2), layer: 0
(connected pos-4-2 pos-4-1), layer: 0
(connected pos-4-3 pos-5-3), layer: 0
(connected pos-4-3 pos-4-4), layer: 0
(connected pos-4-3 pos-3-3), layer: 0
(connected pos-4-3 pos-4-2), layer: 0
(connected pos-4-4 pos-5-4), layer: 0
(connected pos-4-4 pos-4-5), layer: 0
(connected pos-4-4 pos-3-4), layer: 0
(connected pos-4-4 pos-4-3), layer: 0
(connected pos-4-5 pos-5-5), layer: 0
(connected pos-4-5 pos-4-6), layer: 0
(connected pos-4-5 pos-3-5), layer: 0
(connected pos-4-5 pos-4-4), layer: 0
(connected pos-4-6 pos-5-6), layer: 0
(connected pos-4-6 pos-3-6), layer: 0
(connected pos-4-6 pos-4-5), layer: 0
(connected pos-5-0 pos-6-0), layer: 0
(connected pos-5-0 pos-5-1), layer: 0
(connected pos-5-0 pos-4-0), layer: 0
(connected pos-5-1 pos-6-1), layer: 0
(connected pos-5-1 pos-5-2), layer: 0
(connected pos-5-1 pos-4-1), layer: 0
(connected pos-5-1 pos-5-0), layer: 0
(connected pos-5-2 pos-6-2), layer: 0
(connected pos-5-2 pos-5-3), layer: 0
(connected pos-5-2 pos-4-2), layer: 0
(connected pos-5-2 pos-5-1), layer: 0
(connected pos-5-3 pos-6-3), layer: 0
(connected pos-5-3 pos-5-4), layer: 0
(connected pos-5-3 pos-4-3), layer: 0
(connected pos-5-3 pos-5-2), layer: 0
(connected pos-5-4 pos-6-4), layer: 0
(connected pos-5-4 pos-5-5), layer: 0
(connected pos-5-4 pos-4-4), layer: 0
(connected pos-5-4 pos-5-3), layer: 0
(connected pos-5-5 pos-6-5), layer: 0
(connected pos-5-5 pos-5-6), layer: 0
(connected pos-5-5 pos-4-5), layer: 0
(connected pos-5-5 pos-5-4), layer: 0
(connected pos-5-6 pos-6-6), layer: 0
(connected pos-5-6 pos-4-6), layer: 0
(connected pos-5-6 pos-5-5), layer: 0
(connected pos-6-0 pos-6-1), layer: 0
(connected pos-6-0 pos-5-0), layer: 0
(connected pos-6-1 pos-6-2), layer: 0
(connected pos-6-1 pos-5-1), layer: 0
(connected pos-6-1 pos-6-0), layer: 0
(connected pos-6-2 pos-6-3), layer: 0
(connected pos-6-2 pos-5-2), layer: 0
(connected pos-6-2 pos-6-1), layer: 0
(connected pos-6-3 pos-6-4), layer: 0
(connected pos-6-3 pos-5-3), layer: 0
(connected pos-6-3 pos-6-2), layer: 0
(connected pos-6-4 pos-6-5), layer: 0
(connected pos-6-4 pos-5-4), layer: 0
(connected pos-6-4 pos-6-3), layer: 0
(connected pos-6-5 pos-6-6), layer: 0
(connected pos-6-5 pos-5-5), layer: 0
(connected pos-6-5 pos-6-4), layer: 0
(connected pos-6-6 pos-5-6), layer: 0
(connected pos-6-6 pos-6-5), layer: 0
(source pos-0-1 g0), layer: 0
(source pos-2-1 g1), layer: 0
(source pos-6-1 g2), layer: 0
(source pos-1-3 g3), layer: 0
(source pos-4-4 g4), layer: 0
(source pos-2-5 g5), layer: 0
(source pos-6-5 g6), layer: 0
(source pos-0-6 g7), layer: 0
