Diameter for drive: 2
Diameter for pick-up: 5
Diameter for drop: 5
Init-to-goal-distance package-bag10 - package-bag18: 0
Init-to-goal-distance package-bag11 - package-bag12: 0
Init-to-goal-distance package-bag11 - package-bag13: 0
Init-to-goal-distance package-bag11 - package-bag14: 0
Init-to-goal-distance package-bag11 - package-bag15: 0
Init-to-goal-distance package-bag11 - package-bag16: 0
Init-to-goal-distance package-bag11 - package-bag17: 0
Init-to-goal-distance package-bag11 - package-bag18: 0
Init-to-goal-distance package-bag12 - package-bag13: 0
Init-to-goal-distance package-bag12 - package-bag14: 0
Init-to-goal-distance package-bag12 - package-bag15: 0
Init-to-goal-distance package-bag12 - package-bag16: 0
Init-to-goal-distance package-bag12 - package-bag17: 0
Init-to-goal-distance package-bag12 - package-bag18: 0
Init-to-goal-distance package-bag13 - package-bag14: 0
Init-to-goal-distance package-bag13 - package-bag15: 0
Init-to-goal-distance package-bag13 - package-bag16: 0
Init-to-goal-distance package-bag13 - package-bag17: 0
Init-to-goal-distance package-bag13 - package-bag18: 0
Init-to-goal-distance package-bag14 - package-bag15: 0
Init-to-goal-distance package-bag14 - package-bag16: 0
Init-to-goal-distance package-bag14 - package-bag17: 0
Init-to-goal-distance package-bag14 - package-bag18: 0
Init-to-goal-distance package-bag15 - package-bag16: 0
Init-to-goal-distance package-bag15 - package-bag17: 0
Init-to-goal-distance package-bag15 - package-bag18: 0
Init-to-goal-distance package-bag16 - package-bag17: 0
Init-to-goal-distance package-bag16 - package-bag18: 0
Init-to-goal-distance package-bag17 - package-bag18: 0
