Fact[166]:
  (NOT-initialized p0)
  (NOT-initialized p1)
  (NOT-initialized p10)
  (NOT-initialized p11)
  (NOT-initialized p12)
  (NOT-initialized p13)
  (NOT-initialized p2)
  (NOT-initialized p3)
  (NOT-initialized p4)
  (NOT-initialized p5)
  (NOT-initialized p6)
  (NOT-initialized p7)
  (NOT-initialized p8)
  (NOT-initialized p9)
  (NOT-occupied_pqubit p0)
  (NOT-occupied_pqubit p1)
  (NOT-occupied_pqubit p10)
  (NOT-occupied_pqubit p12)
  (NOT-occupied_pqubit p2)
  (NOT-occupied_pqubit p3)
  (NOT-occupied_pqubit p4)
  (NOT-occupied_pqubit p6)
  (NOT-occupied_pqubit p8)
  (NOT-occupied_pqubit p9)
  (NOT-rcnot l0_l4_i3)
  (NOT-rcnot l0_l4_i42)
  (NOT-rcnot l0_l4_i46)
  (NOT-rcnot l0_l4_i7)
  (NOT-rcnot l1_l4_i1)
  (NOT-rcnot l1_l4_i40)
  (NOT-rcnot l1_l4_i44)
  (NOT-rcnot l1_l4_i5)
  (NOT-rcnot l2_l5_i13)
  (NOT-rcnot l2_l5_i17)
  (NOT-rcnot l2_l5_i36)
  (NOT-rcnot l2_l5_i50)
  (NOT-rcnot l3_l5_i28)
  (NOT-rcnot l3_l5_i30)
  (NOT-rcnot l3_l6_i23)
  (NOT-rcnot l3_l6_i27)
  (NOT-rcnot l4_l5_i11)
  (NOT-rcnot l4_l5_i15)
  (NOT-rcnot l4_l5_i34)
  (NOT-rcnot l4_l5_i38)
  (NOT-rcnot l5_l6_i21)
  (NOT-rcnot l5_l6_i25)
    add: (NOT-rcnot l3_l5_i28)
    del: (rcnot l3_l5_i28)
  (apply_cnot_l3_l5_i28 p4 p3), cost: 1
    pre: (NOT-rcnot l3_l6_i27) (NOT-rcnot l5_l6_i25) (mapped l3 p4) (mapped l5 p3) (rcnot l3_l5_i28)
    add: (NOT-rcnot l3_l5_i28)
    del: (rcnot l3_l5_i28)
  (apply_cnot_l3_l5_i28 p5 p4), cost: 1
    pre: (NOT-rcnot l3_l6_i27) (NOT-rcnot l5_l6_i25) (mapped l3 p5) (mapped l5 p4) (rcnot l3_l5_i28)
    add: (NOT-rcnot l3_l5_i28)
    del: (rcnot l3_l5_i28)
  (apply_cnot_l3_l5_i28 p5 p6), cost: 1
    pre: (NOT-rcnot l3_l6_i27) (NOT-rcnot l5_l6_i25) (mapped l3 p5) (mapped l5 p6) (rcnot l3_l5_i28)
    add: (NOT-rcnot l3_l5_i28)
    del: (rcnot l3_l5_i28)
  (apply_cnot_l3_l5_i28 p5 p9), cost: 1
    pre: (NOT-rcnot l3_l6_i27) (NOT-rcnot l5_l6_i25) (mapped l3 p5) (mapped l5 p9) (rcnot l3_l5_i28)
    add: (NOT-rcnot l3_l5_i28)
    del: (rcnot l3_l5_i28)
  (apply_cnot_l3_l5_i28 p6 p8), cost: 1
    pre: (NOT-rcnot l3_l6_i27) (NOT-rcnot l5_l6_i25) (mapped l3 p6) (mapped l5 p8) (rcnot l3_l5_i28)
    add: (NOT-rcnot l3_l5_i28)
    del: (rcnot l3_l5_i28)
  (apply_cnot_l3_l5_i28 p7 p8), cost: 1
    pre: (NOT-rcnot l3_l6_i27) (NOT-rcnot l5_l6_i25) (mapped l3 p7) (mapped l5 p8) (rcnot l3_l5_i28)
    add: (NOT-rcnot l3_l5_i28)
    del: (rcnot l3_l5_i28)
  (apply_cnot_l3_l5_i28 p9 p10), cost: 1
    pre: (NOT-rcnot l3_l6_i27) (NOT-rcnot l5_l6_i25) (mapped l3 p9) (mapped l5 p10) (rcnot l3_l5_i28)
    add: (NOT-rcnot l3_l5_i28)
    del: (rcnot l3_l5_i28)
  (apply_cnot_l3_l5_i28 p9 p8), cost: 1
    pre: (NOT-rcnot l3_l6_i27) (NOT-rcnot l5_l6_i25) (mapped l3 p9) (mapped l5 p8) (rcnot l3_l5_i28)
    add: (NOT-rcnot l3_l5_i28)
    del: (rcnot l3_l5_i28)
  (apply_cnot_l3_l5_i30 p1 p0), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p1) (mapped l5 p0) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p1 p2), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p1) (mapped l5 p2) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p11 p10), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p11) (mapped l5 p10) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p11 p12), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p11) (mapped l5 p12) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p11 p3), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p11) (mapped l5 p3) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p12 p2), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p12) (mapped l5 p2) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p13 p1), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p13) (mapped l5 p1) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p13 p12), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p13) (mapped l5 p12) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p2 p3), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p2) (mapped l5 p3) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p4 p10), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p4) (mapped l5 p10) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p4 p3), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p4) (mapped l5 p3) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p5 p4), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p5) (mapped l5 p4) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p5 p6), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p5) (mapped l5 p6) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p5 p9), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p5) (mapped l5 p9) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p6 p8), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p6) (mapped l5 p8) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p7 p8), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p7) (mapped l5 p8) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p9 p10), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p9) (mapped l5 p10) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l5_i30 p9 p8), cost: 1
    pre: (NOT-rcnot l3_l5_i28) (mapped l3 p9) (mapped l5 p8) (rcnot l3_l5_i30)
    add: (NOT-rcnot l3_l5_i30)
    del: (rcnot l3_l5_i30)
  (apply_cnot_l3_l6_i23 p1 p0), cost: 1
    pre: (NOT-initialized p1) (NOT-rcnot l5_l6_i21) (mapped l6 p0) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p1)
    del: (NOT-initialized p1) (NOT-occupied_pqubit p1) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p1 p2), cost: 1
    pre: (NOT-initialized p1) (NOT-rcnot l5_l6_i21) (mapped l6 p2) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p1)
    del: (NOT-initialized p1) (NOT-occupied_pqubit p1) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p11 p10), cost: 1
    pre: (NOT-initialized p11) (NOT-rcnot l5_l6_i21) (mapped l6 p10) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p11)
    del: (NOT-initialized p11) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p11 p12), cost: 1
    pre: (NOT-initialized p11) (NOT-rcnot l5_l6_i21) (mapped l6 p12) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p11)
    del: (NOT-initialized p11) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p11 p3), cost: 1
    pre: (NOT-initialized p11) (NOT-rcnot l5_l6_i21) (mapped l6 p3) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p11)
    del: (NOT-initialized p11) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p12 p2), cost: 1
    pre: (NOT-initialized p12) (NOT-rcnot l5_l6_i21) (mapped l6 p2) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p12)
    del: (NOT-initialized p12) (NOT-occupied_pqubit p12) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p13 p1), cost: 1
    pre: (NOT-initialized p13) (NOT-rcnot l5_l6_i21) (mapped l6 p1) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p13)
    del: (NOT-initialized p13) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p13 p12), cost: 1
    pre: (NOT-initialized p13) (NOT-rcnot l5_l6_i21) (mapped l6 p12) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p13)
    del: (NOT-initialized p13) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p2 p3), cost: 1
    pre: (NOT-initialized p2) (NOT-rcnot l5_l6_i21) (mapped l6 p3) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p2)
    del: (NOT-initialized p2) (NOT-occupied_pqubit p2) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p4 p10), cost: 1
    pre: (NOT-initialized p4) (NOT-rcnot l5_l6_i21) (mapped l6 p10) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p4)
    del: (NOT-initialized p4) (NOT-occupied_pqubit p4) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p4 p3), cost: 1
    pre: (NOT-initialized p4) (NOT-rcnot l5_l6_i21) (mapped l6 p3) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p4)
    del: (NOT-initialized p4) (NOT-occupied_pqubit p4) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p5 p4), cost: 1
    pre: (NOT-initialized p5) (NOT-rcnot l5_l6_i21) (mapped l6 p4) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p5)
    del: (NOT-initialized p5) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p5 p6), cost: 1
    pre: (NOT-initialized p5) (NOT-rcnot l5_l6_i21) (mapped l6 p6) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p5)
    del: (NOT-initialized p5) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p5 p9), cost: 1
    pre: (NOT-initialized p5) (NOT-rcnot l5_l6_i21) (mapped l6 p9) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p5)
    del: (NOT-initialized p5) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p6 p8), cost: 1
    pre: (NOT-initialized p6) (NOT-rcnot l5_l6_i21) (mapped l6 p8) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p6)
    del: (NOT-initialized p6) (NOT-occupied_pqubit p6) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p7 p8), cost: 1
    pre: (NOT-initialized p7) (NOT-rcnot l5_l6_i21) (mapped l6 p8) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p7)
    del: (NOT-initialized p7) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p9 p10), cost: 1
    pre: (NOT-initialized p9) (NOT-rcnot l5_l6_i21) (mapped l6 p10) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p9)
    del: (NOT-initialized p9) (NOT-occupied_pqubit p9) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i23 p9 p8), cost: 1
    pre: (NOT-initialized p9) (NOT-rcnot l5_l6_i21) (mapped l6 p8) (rcnot l3_l6_i23)
    add: (NOT-rcnot l3_l6_i23) (mapped l3 p9)
    del: (NOT-initialized p9) (NOT-occupied_pqubit p9) (rcnot l3_l6_i23)
  (apply_cnot_l3_l6_i27 p1 p0), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p1) (mapped l6 p0) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p1 p2), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p1) (mapped l6 p2) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p11 p10), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p11) (mapped l6 p10) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p11 p12), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p11) (mapped l6 p12) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p11 p3), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p11) (mapped l6 p3) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p12 p2), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p12) (mapped l6 p2) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p13 p1), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p13) (mapped l6 p1) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p13 p12), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p13) (mapped l6 p12) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p2 p3), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p2) (mapped l6 p3) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p4 p10), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p4) (mapped l6 p10) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p4 p3), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p4) (mapped l6 p3) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p5 p4), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p5) (mapped l6 p4) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p5 p6), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p5) (mapped l6 p6) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p5 p9), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p5) (mapped l6 p9) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p6 p8), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p6) (mapped l6 p8) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p7 p8), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p7) (mapped l6 p8) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p9 p10), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p9) (mapped l6 p10) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l3_l6_i27 p9 p8), cost: 1
    pre: (NOT-rcnot l3_l6_i23) (NOT-rcnot l5_l6_i25) (mapped l3 p9) (mapped l6 p8) (rcnot l3_l6_i27)
    add: (NOT-rcnot l3_l6_i27)
    del: (rcnot l3_l6_i27)
  (apply_cnot_l4_l5_i11 p1 p0), cost: 1
    pre: (NOT-initialized p0) (NOT-rcnot l0_l4_i7) (mapped l4 p1) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p0)
    del: (NOT-initialized p0) (NOT-occupied_pqubit p0) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p1 p2), cost: 1
    pre: (NOT-initialized p2) (NOT-rcnot l0_l4_i7) (mapped l4 p1) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p2)
    del: (NOT-initialized p2) (NOT-occupied_pqubit p2) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p11 p10), cost: 1
    pre: (NOT-initialized p10) (NOT-rcnot l0_l4_i7) (mapped l4 p11) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p10)
    del: (NOT-initialized p10) (NOT-occupied_pqubit p10) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p11 p12), cost: 1
    pre: (NOT-initialized p12) (NOT-rcnot l0_l4_i7) (mapped l4 p11) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p12)
    del: (NOT-initialized p12) (NOT-occupied_pqubit p12) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p11 p3), cost: 1
    pre: (NOT-initialized p3) (NOT-rcnot l0_l4_i7) (mapped l4 p11) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p3)
    del: (NOT-initialized p3) (NOT-occupied_pqubit p3) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p12 p2), cost: 1
    pre: (NOT-initialized p2) (NOT-rcnot l0_l4_i7) (mapped l4 p12) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p2)
    del: (NOT-initialized p2) (NOT-occupied_pqubit p2) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p13 p1), cost: 1
    pre: (NOT-initialized p1) (NOT-rcnot l0_l4_i7) (mapped l4 p13) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p1)
    del: (NOT-initialized p1) (NOT-occupied_pqubit p1) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p13 p12), cost: 1
    pre: (NOT-initialized p12) (NOT-rcnot l0_l4_i7) (mapped l4 p13) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p12)
    del: (NOT-initialized p12) (NOT-occupied_pqubit p12) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p2 p3), cost: 1
    pre: (NOT-initialized p3) (NOT-rcnot l0_l4_i7) (mapped l4 p2) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p3)
    del: (NOT-initialized p3) (NOT-occupied_pqubit p3) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p4 p10), cost: 1
    pre: (NOT-initialized p10) (NOT-rcnot l0_l4_i7) (mapped l4 p4) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p10)
    del: (NOT-initialized p10) (NOT-occupied_pqubit p10) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p4 p3), cost: 1
    pre: (NOT-initialized p3) (NOT-rcnot l0_l4_i7) (mapped l4 p4) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p3)
    del: (NOT-initialized p3) (NOT-occupied_pqubit p3) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p5 p4), cost: 1
    pre: (NOT-initialized p4) (NOT-rcnot l0_l4_i7) (mapped l4 p5) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p4)
    del: (NOT-initialized p4) (NOT-occupied_pqubit p4) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p5 p6), cost: 1
    pre: (NOT-initialized p6) (NOT-rcnot l0_l4_i7) (mapped l4 p5) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p6)
    del: (NOT-initialized p6) (NOT-occupied_pqubit p6) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p5 p9), cost: 1
    pre: (NOT-initialized p9) (NOT-rcnot l0_l4_i7) (mapped l4 p5) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p9)
    del: (NOT-initialized p9) (NOT-occupied_pqubit p9) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p6 p8), cost: 1
    pre: (NOT-initialized p8) (NOT-rcnot l0_l4_i7) (mapped l4 p6) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p8)
    del: (NOT-initialized p8) (NOT-occupied_pqubit p8) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p7 p8), cost: 1
    pre: (NOT-initialized p8) (NOT-rcnot l0_l4_i7) (mapped l4 p7) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p8)
    del: (NOT-initialized p8) (NOT-occupied_pqubit p8) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p9 p10), cost: 1
    pre: (NOT-initialized p10) (NOT-rcnot l0_l4_i7) (mapped l4 p9) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p10)
    del: (NOT-initialized p10) (NOT-occupied_pqubit p10) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i11 p9 p8), cost: 1
    pre: (NOT-initialized p8) (NOT-rcnot l0_l4_i7) (mapped l4 p9) (rcnot l4_l5_i11)
    add: (NOT-rcnot l4_l5_i11) (mapped l5 p8)
    del: (NOT-initialized p8) (NOT-occupied_pqubit p8) (rcnot l4_l5_i11)
  (apply_cnot_l4_l5_i15 p1 p0), cost: 1
    pre: (NOT-rcnot l2_l5_i13) (NOT-rcnot l4_l5_i11) (mapped l4 p1) (mapped l5 p0) (rcnot l4_l5_i15)
    add: (NOT-rcnot l4_l5_i15)
    del: (rcnot l4_l5_i15)
  (apply_cnot_l4_l5_i15 p1 p2), cost: 1
    pre: (NOT-rcnot l2_l5_i13) (NOT-rcnot l4_l5_i11) (mapped l4 p1) (mapped l5 p2) (rcnot l4_l5_i15)
    add: (NOT-rcnot l4_l5_i15)
    del: (rcnot l4_l5_i15)
  (apply_cnot_l4_l5_i15 p11 p10), cost: 1
    pre: (NOT-rcnot l2_l5_i13) (NOT-rcnot l4_l5_i11) (mapped l4 p11) (mapped l5 p10) (rcnot l4_l5_i15)
    add: (NOT-rcnot l4_l5_i15)
    del: (rcnot l4_l5_i15)
  (apply_cnot_l4_l5_i15 p11 p12), cost: 1
    pre: (NOT-rcnot l2_l5_i13) (NOT-rcnot l4_l5_i11) (mapped l4 p11) (mapped l5 p12) (rcnot l4_l5_i15)
    add: (NOT-rcnot l4_l5_i15)
    del: (rcnot l4_l5_i15)
  (apply_cnot_l4_l5_i15 p11 p3), cost: 1
    pre: (NOT-rcnot l2_l5_i13) (NOT-rcnot l4_l5_i11) (mapped l4 p11) (mapped l5 p3) (rcnot l4_l5_i15)
    add: (NOT-rcnot l4_l5_i15)
    del: (rcnot l4_l5_i15)
  (apply_cnot_l4_l5_i15 p12 p2), cost: 1
    pre: (NOT-rcnot l2_l5_i13) (NOT-rcnot l4_l5_i11) (mapped l4 p12) (mapped l5 p2) (rcnot l4_l5_i15)
    add: (NOT-rcnot l4_l5_i15)
    del: (rcnot l4_l5_i15)
  (apply_cnot_l4_l5_i15 p13 p1), cost: 1
    pre: (NOT-rcnot l2_l5_i13) (NOT-rcnot l4_l5_i11) (mapped l4 p13) (mapped l5 p1) (rcnot l4_l5_i15)
    add: (NOT-rcnot l4_l5_i15)
    del: (rcnot l4_l5_i15)
  (apply_cnot_l4_l5_i15 p13 p12), cost: 1
    pre: (NOT-rcnot l2_l5_i13) (NOT-rcnot l4_l5_i11) (mapped l4 p13) (mapped l5 p12) (rcnot l4_l5_i15)
    add: (NOT-rcnot l4_l5_i15)
    del: (rcnot l4_l5_i15)
  (apply_cnot_l4_l5_i15 p2 p3), cost: 1
    pre: (NOT-rcnot l2_l5_i13) (NOT-rcnot l4_l5_i11) (mapped l4 p2) (mapped l5 p3) (rcnot l4_l5_i15)
    add: (NOT-rcnot l4_l5_i15)
