(on card-d2-s0-v5 card-d0-s0-v5), layer: 0
(is-ace card-d2-s0-v0), layer: 0
(is-ace card-d3-s0-v0), layer: 0
(is-king card-d0-s0-v8), layer: 0
(is-king card-d1-s0-v8), layer: 0
(is-king card-d2-s0-v8), layer: 0
(is-king card-d3-s0-v8), layer: 0
(next-deal deal-0 deal-1), layer: 0
(next-deal deal-1 deal-2), layer: 0
(to-deal card-d0-s0-v6 pile-5 deal-0 deal-0), layer: 0
(to-deal card-d2-s0-v6 pile-0 deal-0 card-d1-s0-v0), layer: 0
(to-deal card-d1-s0-v0 pile-1 deal-0 card-d1-s0-v8), layer: 0
(to-deal card-d1-s0-v8 pile-2 deal-0 card-d3-s0-v8), layer: 0
(to-deal card-d3-s0-v8 pile-3 deal-0 card-d1-s0-v1), layer: 0
(to-deal card-d1-s0-v1 pile-4 deal-0 card-d0-s0-v6), layer: 0
(to-deal card-d2-s0-v2 pile-5 deal-1 deal-1), layer: 0
(to-deal card-d0-s0-v8 pile-0 deal-1 card-d3-s0-v3), layer: 0
(to-deal card-d3-s0-v3 pile-1 deal-1 card-d1-s0-v7), layer: 0
(to-deal card-d1-s0-v7 pile-2 deal-1 card-d2-s0-v0), layer: 0
(to-deal card-d2-s0-v0 pile-3 deal-1 card-d0-s0-v4), layer: 0
(to-deal card-d0-s0-v4 pile-4 deal-1 card-d2-s0-v2), layer: 0
